iter,loss,phys,bc,shape,tip,block,EI_eff_Nmm2,k_p_N_per_kPa,val_total,val_shape,val_tip,val_block
15,12.728883743286133,1.3037018775939941,0.0843399167060852,0.3259088397026062,0.20316413044929504,3.2421328796772286e-05,1375.7392578125,0.0011813119053840637,19.30352783203125,0.2991406321525574,0.6659676432609558,0.00013612186012323946
16,12.79931926727295,1.2992783784866333,0.08822903037071228,0.3258221447467804,0.20504701137542725,3.667794953798875e-05,1374.698486328125,0.0011802134104073048,19.140783309936523,0.2990829348564148,0.6578799486160278,0.00015265043475665152
17,12.777714729309082,1.3540658950805664,0.08053356409072876,0.3257142901420593,0.2051808089017868,4.1122908442048356e-05,1373.559326171875,0.001179123530164361,19.373987197875977,0.29902058839797974,0.669593870639801,0.00016998715000227094
18,12.727865219116211,1.3294113874435425,0.08335058391094208,0.3255895674228668,0.20263493061065674,4.578466905513778e-05,1372.316650390625,0.0011780462227761745,19.648515701293945,0.298961877822876,0.6833698749542236,0.0001880365307442844
19,12.694223403930664,1.3239176273345947,0.0848163589835167,0.32545599341392517,0.20062579214572906,5.063782737124711e-05,1370.990966796875,0.0011769830016419291,19.501605987548828,0.298916757106781,0.6760601997375488,0.00020674731058534235
20,12.64634895324707,1.3491387367248535,0.08075287193059921,0.32532498240470886,0.19913128018379211,5.5668235290795565e-05,1369.597900390625,0.0011759313056245446,19.040294647216797,0.2988845407962799,0.6530171036720276,0.00022612512111663818
21,12.713253021240234,1.407107949256897,0.08409141004085541,0.3251972496509552,0.19803392887115479,6.087783185648732e-05,1368.1529541015625,0.0011748814722523093,18.48813247680664,0.2988623380661011,0.6254211068153381,0.00024633519933559
22,12.519929885864258,1.420605182647705,0.06212799623608589,0.3250703513622284,0.1987987607717514,6.631065480178222e-05,1366.662841796875,0.0011738367611542344,18.202911376953125,0.2988424003124237,0.6111695766448975,0.00026730389799922705
23,12.469388961791992,1.4443461894989014,0.055395789444446564,0.32493266463279724,0.1985856145620346,7.194720092229545e-05,1365.1275634765625,0.0011727918172255158,18.176088333129883,0.2988227605819702,0.6098370552062988,0.00028913491405546665
24,12.399284362792969,1.441468358039856,0.054687514901161194,0.3247825801372528,0.19572556018829346,7.78152170823887e-05,1363.551513671875,0.0011717521119862795,18.341720581054688,0.29880473017692566,0.6181254386901855,0.0003117056912742555
25,12.28483772277832,1.4348636865615845,0.051730506122112274,0.3246228098869324,0.1919686645269394,8.388171409023926e-05,1361.9393310546875,0.0011707185767591,18.61088752746582,0.29879119992256165,0.6315857172012329,0.00033498587436042726
26,12.283344268798828,1.432816505432129,0.05678819864988327,0.3244585394859314,0.18962866067886353,9.013903036247939e-05,1360.2996826171875,0.001169687369838357,18.821247100830078,0.29878535866737366,0.642097532749176,0.0003590465639717877
