iter,loss,shape,tip,val_total,val_shape,val_tip
0,16.087419509887695,0.3267108201980591,0.4776601195335388,31.770973205566406,0.299633264541626,1.2889153957366943
1,12.729650497436523,0.3267466127872467,0.30973589420318604,25.211711883544922,0.29966872930526733,0.9609168767929077
2,11.286191940307617,0.3267790973186493,0.23753046989440918,20.611616134643555,0.2997075915336609,0.7308732271194458
3,11.228630065917969,0.3267859220504761,0.23464560508728027,18.097192764282227,0.2997366487979889,0.605122983455658
4,11.543981552124023,0.32675445079803467,0.2504446506500244,16.997947692871094,0.2997508645057678,0.5501465201377869
5,11.485528945922852,0.326691597700119,0.24758484959602356,16.565536499023438,0.2997525930404663,0.5285242199897766
6,11.026281356811523,0.3266083002090454,0.2247057855129242,16.399555206298828,0.29974550008773804,0.5202323198318481
7,10.460291862487793,0.3265129327774048,0.19650167226791382,16.33626937866211,0.2997329831123352,0.5170804858207703
8,10.069897651672363,0.32641181349754333,0.1770830750465393,16.308208465576172,0.2997177541255951,0.5156926512718201
9,9.993023872375488,0.3263119161128998,0.17333927750587463,16.277563095092773,0.2997022867202759,0.5141758322715759
10,10.178741455078125,0.32622236013412476,0.18271470069885254,16.224512100219727,0.2996887266635895,0.5115368962287903
11,10.42703628540039,0.32615408301353455,0.19519774615764618,16.15880012512207,0.29967716336250305,0.5082628726959229
12,10.54645824432373,0.3261113464832306,0.2012115716934204,16.113327026367188,0.2996663451194763,0.5059999227523804
13,10.487115859985352,0.3260906934738159,0.19826510548591614,16.12091827392578,0.2996547818183899,0.5063911080360413
14,10.322168350219727,0.3260863423347473,0.19002211093902588,16.19373321533203,0.2996404767036438,0.5100462436676025
15,10.163167953491211,0.32609179615974426,0.18206658959388733,16.31155014038086,0.2996215224266052,0.515955924987793
16,10.089017868041992,0.3261006474494934,0.1783502846956253,16.424365997314453,0.29959622025489807,0.5216220617294312
17,10.110300064086914,0.32610654830932617,0.179408460855484,16.475311279296875,0.29956376552581787,0.5242018103599548
18,10.176289558410645,0.32610422372817993,0.18271027505397797,16.434965133666992,0.29952478408813477,0.5222234725952148
19,10.218720436096191,0.3260907828807831,0.1848452240228653,16.321239471435547,0.299480676651001,0.5165812373161316
20,10.199289321899414,0.3260657787322998,0.1838986873626709,16.189212799072266,0.299433171749115,0.5100275278091431
21,10.126144409179688,0.3260306119918823,0.18027660250663757,16.101919174194336,0.2993839383125305,0.5057120323181152
22,10.037330627441406,0.32598769664764404,0.17587882280349731,16.102054595947266,0.2993342876434326,0.5057684779167175
23,9.972612380981445,0.3259398639202118,0.1726907193660736,16.196840286254883,0.2992855906486511,0.5105563998222351
24,9.95260238647461,0.3258899450302124,0.17174017429351807,16.35892105102539,0.2992390990257263,0.5187069177627563
25,9.972809791564941,0.3258403539657593,0.17280013859272003,16.540220260620117,0.29919564723968506,0.5278154015541077
26,10.011226654052734,0.3257931172847748,0.17476817965507507,16.691303253173828,0.29915592074394226,0.5354092717170715
27,10.042610168457031,0.3257494866847992,0.17638103663921356,16.77766227722168,0.2991199493408203,0.5397631525993347
28,10.05107593536377,0.3257097601890564,0.1768440157175064,16.787307739257812,0.29908740520477295,0.5402780175209045
29,10.035335540771484,0.3256734311580658,0.17609335482120514,16.72928237915039,0.2990574836730957,0.5374066233634949
30,10.005972862243652,0.3256392478942871,0.17465940117835999,16.62628746032715,0.29902923107147217,0.5322851538658142
31,9.977933883666992,0.3256056010723114,0.17329108715057373,16.50542449951172,0.29900163412094116,0.5262695550918579
32,9.962508201599121,0.3255707919597626,0.1725545972585678,16.39008331298828,0.298973947763443,0.5205301642417908
33,9.962322235107422,0.3255331516265869,0.1725829690694809,16.29500389099121,0.29894542694091797,0.5158047676086426
34,9.971233367919922,0.32549142837524414,0.1730702519416809,16.225440979003906,0.2989158034324646,0.512356162071228
35,9.978788375854492,0.3254448175430298,0.1734946221113205,16.179601669311523,0.29888492822647095,0.5100951790809631
36,9.97662353515625,0.32539311051368713,0.17343808710575104,16.152477264404297,0.298852801322937,0.5087710618972778
37,9.963053703308105,0.3253365755081177,0.17281609773635864,16.138675689697266,0.29881954193115234,0.508114218711853
38,9.943330764770508,0.3252759277820587,0.17189064621925354,16.13339614868164,0.2987852990627289,0.5078844428062439
39,9.925859451293945,0.3252122402191162,0.17108073830604553,16.132083892822266,0.29875022172927856,0.5078539252281189
40,9.917014122009277,0.3251468539237976,0.17070384323596954,16.130128860473633,0.2987145185470581,0.5077918767929077
41,9.917731285095215,0.3250811696052551,0.17080539464950562,16.123390197753906,0.2986782491207123,0.5074912309646606
42,9.923639297485352,0.32501643896102905,0.17116551101207733,16.109464645385742,0.298641562461853,0.5068316459655762
