split,pinn_shape_x_rmse_mm,pinn_shape_y_rmse_mm,mlp_shape_x_rmse_mm,mlp_shape_y_rmse_mm,pinn_tip_y_rmse_mm,mlp_tip_y_rmse_mm,pinn_tip_angle_rmse_rad,mlp_tip_angle_rmse_rad,pinn_block_rmse_N,EI_identified_Nmm2,k_p_identified_N_per_kPa,EI_true_Nmm2,k_p_true_N_per_kPa,EI_pct_err,kp_pct_err
train,14.361894926167802,6.360499379162248,18.371528626001748,11.224893147533269,10.468886011241574,16.67645667424594,0.009165480634344601,0.003207460576869984,0.0010467530273214416,,,,,,
val,17.013981404210316,21.309291237021057,14.161174762916481,20.0142064878749,41.63049537403606,49.56687205273312,0.2565945620975725,0.17896798138589176,0.0020132933346035113,,,,,,
test,34.411304962148115,31.068319280237443,65.36960206052306,43.837112491543074,59.686440915940395,74.88487355489517,0.5929638207056548,0.10861033080663708,0.002538690186473608,1650.993896484375,0.0011898936936631799,1373.5999999999997,0.0012,20.19466340159984,0.8421921947350018
