regime,pinn_tip_mean,pinn_tip_std,mlp_tip_mean,mlp_tip_std,pinn_shape_mean,pinn_shape_std,mlp_shape_mean,mlp_shape_std,EI_err_mean,EI_err_std
low,42.44655117130649,5.248728815836928,59.8375294461459,12.266300047089457,36.831075793884054,2.735742459361779,47.31856194034658,2.567615019311135,31.363569706580062,0.7145412391650731
medium,31.297372938541272,0.5962182564871292,48.7664820484983,11.586840285973368,31.07764653340027,1.028926052347896,42.597033104537594,4.026229021463117,20.154684248583433,0.38697027538954676
high,33.967550007107725,0.8428997958567866,43.62301386958606,3.7942226870014917,31.241885229588263,1.0709344117733313,35.57674569538969,1.2324301700398648,23.89141979598928,2.597313608559283
