split,s_mm,s_over_L,p_kpa,x_mm,y_mm
train,0.0,0.0,10.0,4.005004885103375e-17,-6.226540928001362e-26
train,7.531380753138075,0.03765690376569038,10.0,7.53116949000144,0.04893033734316378
train,15.899581589958158,0.0794979079497908,10.0,15.89765658619645,0.2149822375692737
train,24.26778242677824,0.1213389121338912,10.0,24.261156877818834,0.49361915431526143
train,32.63598326359833,0.16317991631799164,10.0,32.620392894062775,0.8796769365083457
train,41.004184100418406,0.20502092050209203,10.0,40.97428500725734,1.36798145913589
train,49.37238493723849,0.24686192468619247,10.0,49.321942035436244,1.9533530308559897
train,57.74058577405857,0.28870292887029286,10.0,57.662651780619285,2.630610225108434
train,66.10878661087865,0.3305439330543933,10.0,65.99587152125089,3.3945731630020366
train,74.47698744769875,0.37238493723849375,10.0,74.32121847489769,4.240066276624915
train,82.84518828451883,0.4142259414225941,10.0,82.63846024508321,5.161920581700019
train,91.2133891213389,0.45606694560669453,10.0,90.94750526403529,6.1549754887012496
train,99.58158995815899,0.49790794979079495,10.0,99.24839324114167,7.214080181667351
train,107.94979079497908,0.5397489539748954,10.0,107.54128562505437,8.334094594012456
train,116.31799163179916,0.5815899581589958,10.0,115.8264560856526,9.50989001064377
train,124.68619246861924,0.6234309623430963,10.0,124.1042810204699,10.736349325668131
train,133.05439330543933,0.6652719665271967,10.0,132.3752300887117,12.008366984908593
train,141.4225941422594,0.7071129707112971,10.0,140.63985677463614,13.320848642368473
train,149.7907949790795,0.7489539748953975,10.0,148.89878898084348,14.6687105596803
train,158.15899581589957,0.7907949790794979,10.0,157.15271965091588,16.04687877746803
train,166.52719665271965,0.8326359832635982,10.0,165.40239741987068,17.450288087438736
train,174.89539748953973,0.8744769874476986,10.0,173.64861729003613,18.873880833909983
train,183.2635983263598,0.9163179916317991,10.0,181.89221132922683,20.312605573376175
train,191.63179916317992,0.9581589958158996,10.0,190.13403938748758,21.761415620625254
train,200.0,1.0,10.0,198.37497982818837,23.215267509839503
train,0.0,0.0,17.0,-7.039808896170705e-17,-8.281759048371168e-25
train,7.531380753138075,0.03765690376569038,17.0,7.53077021232252,0.08317937825540074
train,15.899581589958158,0.0794979079497908,17.0,15.89401870583638,0.36542838388477056
train,24.26778242677824,0.1213389121338912,17.0,24.248637492671023,0.8389392076747506
train,32.63598326359833,0.16317991631799164,17.0,32.59093895424899,1.4947890255382845
train,41.004184100418406,0.20502092050209203,17.0,40.91781016322335,2.324006121395711
train,49.37238493723849,0.24686192468619247,17.0,49.226685712648106,3.317591582265591
train,57.74058577405857,0.28870292887029286,17.0,57.51552000813165,4.466538145107092
train,66.10878661087865,0.3305439330543933,17.0,65.78275917752498,5.761846330044661
train,74.47698744769875,0.37238493723849375,17.0,74.02731273305434,7.194537999874523
train,82.84518828451883,0.4142259414225941,17.0,82.2485251020957,8.75566748966887
train,91.2133891213389,0.45606694560669453,17.0,90.44614712506043,10.436330453031003
train,99.58158995815899,0.49790794979079495,17.0,98.62030760216118,12.22767057327825
train,107.94979079497908,0.5397489539748954,17.0,106.77148495518432,14.120884288695711
train,116.31799163179916,0.5815899581589958,17.0,114.90047905583,16.1072236811593
train,124.68619246861924,0.6234309623430963,17.0,123.00838325870303,18.1779976770084
train,133.05439330543933,0.6652719665271967,17.0,131.09655666465278,20.324571708183115
train,141.4225941422594,0.7071129707112971,17.0,139.16659662886346,22.538365980446017
train,149.7907949790795,0.7489539748953975,17.0,147.22031151788354,24.810852494088948
train,158.15899581589957,0.7907949790794979,17.0,155.2596937106425,27.133550960978848
train,166.52719665271965,0.8326359832635982,17.0,163.28689283042397,29.498023760208344
train,174.89539748953973,0.8744769874476986,17.0,171.30418918773404,31.89587007306312
train,183.2635983263598,0.9163179916317991,17.0,179.31396740800622,34.31871933656486
train,191.63179916317992,0.9581589958158996,17.0,187.3186902131107,36.758224153552526
train,200.0,1.0,17.0,195.32087232167177,39.20605279617179
train,0.0,0.0,24.0,2.7853453291221e-16,-2.22970859340791e-24
train,7.531380753138075,0.03765690376569038,24.0,7.530163925906316,0.1174250044933166
train,15.899581589958158,0.0794979079497908,24.0,15.888495459333486,0.5158101091901174
train,24.26778242677824,0.1213389121338912,24.0,24.229633832020728,1.1839274920155864
train,32.63598326359833,0.16317991631799164,24.0,32.546242249393316,2.1088723239698934
train,41.004184100418406,0.20502092050209203,24.0,40.832138159997186,3.2776026752812766
train,49.37238493723849,0.24686192468619247,24.0,49.082239054044464,4.677000732753443
train,57.74058577405857,0.28870292887029286,24.0,57.292506128285225,6.29392593468187
train,66.10878661087865,0.3305439330543933,24.0,65.45988643413273,8.115260383933977
train,74.47698744769875,0.37238493723849375,24.0,73.58225404750334,10.127946929392818
train,82.84518828451883,0.4142259414225941,24.0,81.65835072366419,12.3190203279404
train,91.2133891213389,0.45606694560669453,24.0,89.68772642895968,14.675631914480155
train,99.58158995815899,0.49790794979079495,24.0,97.67068007394725,17.185068217104604
train,107.94979079497908,0.5397489539748954,24.0,105.60820070945464,19.8347639592932
train,116.31799163179916,0.5815899581589958,24.0,113.50190938852727,22.6123098918135
train,124.68619246861924,0.6234309623430963,24.0,121.35400184325239,25.505455894576958
train,133.05439330543933,0.6652719665271967,24.0,129.16719207605237,28.5021097837895
train,141.4225941422594,0.7071129707112971,24.0,136.94465692021546,31.590332252998454
train,149.7907949790795,0.7489539748953975,24.0,144.68998158412515,34.758328368670725
train,158.15899581589957,0.7907949790794979,24.0,152.40710615777994,37.99443603228188
train,166.52719665271965,0.8326359832635982,24.0,160.10027302866987,41.28711181203196
train,174.89539748953973,0.8744769874476986,24.0,167.77397512679102,44.62491453865155
train,183.2635983263598,0.9163179916317991,24.0,175.4329048954295,47.99648705168579
train,191.63179916317992,0.9581589958158996,24.0,183.0819038652309,51.39053647545123
train,200.0,1.0,24.0,190.72591269390006,54.79581339780638
train,0.0,0.0,31.0,1.119296630759568e-16,-1.6839830062157358e-24
train,7.531380753138075,0.03765690376569038,31.0,7.529350660562943,0.1516658102713849
train,15.899581589958158,0.0794979079497908,31.0,15.881088010310801,0.6661009079259478
train,24.26778242677824,0.1213389121338912,31.0,24.204154856565907,1.5284476353397192
train,32.63598326359833,0.16317991631799164,31.0,32.48633937191771,2.721504496198253
train,41.004184100418406,0.20502092050209203,31.0,40.7173752084631,4.2277758951490085
train,49.37238493723849,0.24686192468619247,31.0,48.88885092705205,6.029604559441767
train,57.74058577405857,0.28870292887029286,31.0,56.99411348570221,8.109286345019287
train,66.10878661087865,0.3305439330543933,31.0,65.02816751561038,10.449168151887212
train,74.47698744769875,0.37238493723849375,31.0,72.98757189309805,13.031729780307277
train,82.84518828451883,0.4142259414225941,31.0,80.87033490345951,15.83965063843643
train,91.2133891213389,0.45606694560669453,31.0,88.67580909012445,18.855862266993576
train,99.58158995815899,0.49790794979079495,31.0,96.4045866913696,22.063587680786373
train,107.94979079497908,0.5397489539748954,31.0,104.05839638812344,25.446368543734316
train,116.31799163179916,0.5815899581589958,31.0,111.64000192091876,28.98808119645544
train,124.68619246861924,0.6234309623430963,31.0,119.15310298215013,32.67294254640934
train,133.05439330543933,0.6652719665271967,31.0,126.60223865160502,36.48550681264912
train,141.4225941422594,0.7071129707112971,31.0,133.9926935186694,40.41065409283854
