split,p_kpa,F_b_N
train,10.0,0.03199997118467832
train,17.0,0.054399857498119854
train,24.0,0.07679960292492173
train,31.0,0.0991991441353351
train,38.0,0.1215984232146141
train,45.0,0.14399738072071946
train,52.0,0.16639595705831497
train,59.0,0.18879409245012116
val,66.0,0.21119172690804838
val,73.0,0.2335888002040602
val,80.0,0.2559852518407101
test,87.0,0.2783810210212799
test,94.0,0.3007760466194277
