iter,loss,phys,bc,shape,tip,block,val_total,EI_eff_Nmm2,k_p_N_per_kPa
0,22.58243751525879,1.3432247638702393,0.033180009573698044,0.32954007387161255,0.7158305644989014,4.178657420084164e-11,33.209930419921875,1374.9742431640625,0.0011988007463514805
1,17.04142189025879,1.348642349243164,0.04766589030623436,0.329515278339386,0.4312906265258789,1.3047721836301207e-07,26.966588973999023,1376.3387451171875,0.0011976019013673067
2,16.02859115600586,1.3566246032714844,0.2613130211830139,0.32948464155197144,0.273456871509552,5.303696184455475e-07,24.119281768798828,1377.64990234375,0.0011964038712903857
3,16.783878326416016,1.3397185802459717,0.44287240505218506,0.32944807410240173,0.2213231325149536,1.1992685813311255e-06,23.735126495361328,1378.7301025390625,0.0011952101485803723
4,16.590669631958008,1.3267126083374023,0.4375832974910736,0.3294144570827484,0.21499067544937134,2.1333928543754155e-06,24.70878028869629,1379.6219482421875,0.0011940221302211285
5,15.49357795715332,1.3578389883041382,0.31321239471435547,0.32938411831855774,0.22079497575759888,3.3282103686360642e-06,26.383102416992188,1380.5928955078125,0.0011928321328014135
6,14.326200485229492,1.334553599357605,0.17553456127643585,0.3293560743331909,0.23245660960674286,4.790468665305525e-06,28.34625244140625,1381.636962890625,0.001191645278595388
7,13.725954055786133,1.3420268297195435,0.08168569952249527,0.3293280303478241,0.24902226030826569,6.51329719403293e-06,30.102407455444336,1382.7620849609375,0.0011904595885425806
8,13.657941818237305,1.3315104246139526,0.04124514013528824,0.3292979598045349,0.26639676094055176,8.498143870383501e-06,31.170310974121094,1383.95849609375,0.0011892770417034626
9,13.928435325622559,1.333848476409912,0.044833939522504807,0.3292641043663025,0.27804288268089294,1.0740301149780862e-05,31.240711212158203,1385.2198486328125,0.0011880964739248157
10,14.027628898620605,1.3365676403045654,0.052927128970623016,0.32922524213790894,0.27885758876800537,1.3240150110505056e-05,30.373319625854492,1386.5338134765625,0.0011869171867147088
11,13.98045539855957,1.3382387161254883,0.06766756623983383,0.3291809856891632,0.26908808946609497,1.5998339222278446e-05,28.794431686401367,1387.89111328125,0.001185738597996533
12,13.603388786315918,1.3269894123077393,0.0638287365436554,0.3291320204734802,0.25276410579681396,1.9015409634448588e-05,26.858793258666992,1389.286376953125,0.0011845629196614027
13,13.160181999206543,1.310929775238037,0.05582929402589798,0.3290790319442749,0.23545776307582855,2.228436278528534e-05,24.891023635864258,1390.716064453125,0.0011833934113383293
14,13.026798248291016,1.3447593450546265,0.06718811392784119,0.3290227949619293,0.22147221863269806,2.5793553504627198e-05,23.109525680541992,1392.173828125,0.001182221109047532
15,12.928574562072754,1.3160291910171509,0.07835306972265244,0.3289649486541748,0.21247100830078125,2.9568062018370256e-05,21.668209075927734,1393.654296875,0.0011810541618615389
16,13.02157211303711,1.3032469749450684,0.09854742884635925,0.3289068937301636,0.2077188789844513,3.3581789466552436e-05,20.626646041870117,1395.1531982421875,0.00117989513091743
17,13.11011791229248,1.2882442474365234,0.11448382586240768,0.3288501799106598,0.20498263835906982,3.782047133427113e-05,19.977935791015625,1396.6611328125,0.0011787469265982509
18,13.101292610168457,1.3057911396026611,0.11745356023311615,0.328795850276947,0.2022312879562378,4.226840246701613e-05,19.66594123840332,1398.1973876953125,0.0011776029132306576
19,13.006866455078125,1.3028085231781006,0.11526692658662796,0.32874414324760437,0.19880178570747375,4.6945904614403844e-05,19.62327766418457,1399.7408447265625,0.0011764643713831902
