split,p_kpa,F_b_N
train,20.0,0.06399977238195075
train,40.0,0.127998160775897
val,60.0,0.19199378658696176
test,80.0,0.2559852518407101
train,30.0,0.09599922434083778
val,70.0,0.22399012709325491
train,50.0,0.15999640619560074
test,100.0,0.31997114441775787
