version,label,EI_pct_err,kp_pct_err,pinn_tip_rmse,pinn_block_rmse,pinn_shape_y_rmse
A,PINN-A (no block loss),27.833965925817633,40.91751189747204,39.23441065996959,0.07978127111898882,36.793995900445864
B,PINN-B (with block loss),20.194698949157353,0.8421824934581829,31.983178515018796,0.001631674030106579,31.068366467974016
