iter,loss,val_total
0,15.156457901000977,25.333858489990234
1,11.768806457519531,20.269485473632812
2,10.418436050415039,17.11901092529297
3,10.652069091796875,15.690577507019043
4,11.293042182922363,15.225044250488281
5,11.410345077514648,15.13845157623291
6,11.012635231018066,15.232197761535645
7,10.453498840332031,15.446332931518555
8,10.03019905090332,15.720108985900879
9,9.877920150756836,15.958168029785156
10,9.968114852905273,16.057130813598633
11,10.158380508422852,15.962861061096191
12,10.289436340332031,15.699588775634766
13,10.279961585998535,15.34660816192627
14,10.146234512329102,15.00006103515625
15,9.963434219360352,14.741889953613281
16,9.816389083862305,14.617486000061035
17,9.760808944702148,14.622366905212402
18,9.80129623413086,14.704927444458008
19,9.892911911010742,14.792152404785156
20,9.969820976257324,14.828165054321289
21,9.985943794250488,14.798568725585938
22,9.938105583190918,14.726304054260254
23,9.858537673950195,14.649422645568848
24,9.789472579956055,14.598539352416992
25,9.75902271270752,14.584692001342773
26,9.76987361907959,14.599769592285156
27,9.8031644821167,14.625612258911133
28,9.832551002502441,14.645013809204102
29,9.839241981506348,14.64895248413086
30,9.819920539855957,14.637855529785156
31,9.78515625,14.618388175964355
32,9.751473426818848,14.598508834838867
33,9.732193946838379,14.583492279052734
34,9.73143196105957,14.574536323547363
35,9.743454933166504,14.570226669311523
36,9.757109642028809,14.569381713867188
37,9.762508392333984,14.573091506958008
38,9.75605583190918,14.584378242492676
39,9.741255760192871,14.605783462524414
40,9.725525856018066,14.636688232421875
41,9.715492248535156,14.672148704528809
42,9.713571548461914,14.704082489013672
43,9.7174072265625,14.724113464355469
44,9.72192668914795,14.72670841217041
45,9.722503662109375,14.711118698120117
46,9.71739387512207,14.681358337402344
47,9.708248138427734,14.644433975219727
48,9.69871997833252,14.607719421386719
49,9.692142486572266,14.57661247253418
50,9.689652442932129,14.55345344543457
51,9.689798355102539,14.537903785705566
52,9.689746856689453,14.52831745147705
53,9.687217712402344,14.523067474365234
54,9.681851387023926,14.52109146118164
55,9.67518424987793,14.521583557128906
56,9.669378280639648,14.523397445678711
57,9.665705680847168,14.524811744689941
58,9.663824081420898,14.52396297454834
59,9.662213325500488,14.519603729248047
60,9.659364700317383,14.511709213256836
61,9.654796600341797,14.50143051147461
62,9.64924144744873,14.490523338317871
63,9.643957138061523,14.48054313659668
64,9.63974380493164,14.472389221191406
65,9.636435508728027,14.466333389282227
66,9.63314151763916,14.462389945983887
67,9.629021644592285,14.46059799194336
68,9.623917579650879,14.460943222045898
69,9.618385314941406,14.463006019592285
70,9.61315631866455,14.465705871582031
71,9.608531951904297,14.467459678649902
72,9.604201316833496,14.466740608215332
73,9.59957218170166,14.46272087097168
74,9.594287872314453,14.455595016479492
75,9.58849048614502,14.44640827178955
76,9.582618713378906,14.436563491821289
77,9.576987266540527,14.427284240722656
78,9.571518898010254,14.419339179992676
79,9.56585693359375,14.412986755371094
80,9.55971622467041,14.40805435180664
81,9.553136825561523,14.403968811035156
82,9.546399116516113,14.399816513061523
83,9.539716720581055,14.394546508789062
84,9.533026695251465,14.3873291015625
85,9.526082992553711,14.377918243408203
86,9.51871109008789,14.366765975952148
87,9.510974884033203,14.354804992675781
88,9.503071784973145,14.343022346496582
89,9.495092391967773,14.33212661743164
90,9.486923217773438,14.322410583496094
91,9.478389739990234,14.313783645629883
92,9.469447135925293,14.305840492248535
93,9.460208892822266,14.297933578491211
94,9.45077896118164,14.289322853088379
95,9.44110107421875,14.279452323913574
96,9.431032180786133,14.268220901489258
97,9.420519828796387,14.256002426147461
98,9.40963363647461,14.243436813354492
99,9.398449897766113,14.231101989746094
100,9.386921882629395,14.219300270080566
101,9.374945640563965,14.207967758178711
102,9.362492561340332,14.196710586547852
103,9.349625587463379,14.184883117675781
104,9.3363676071167,14.171867370605469
105,9.32264518737793,14.157383918762207
106,9.308382987976074,14.141666412353516
107,9.293601036071777,14.125277519226074
108,9.278345108032227,14.108762741088867
109,9.262577056884766,14.092355728149414
110,9.24622917175293,14.07590103149414
111,9.229300498962402,14.058935165405273
112,9.211825370788574,14.040929794311523
113,9.193774223327637,14.021627426147461
114,9.17508316040039,14.001228332519531
115,9.155757904052734,13.980207443237305
116,9.135826110839844,13.958958625793457
117,9.115257263183594,13.937541961669922
118,9.094015121459961,13.915706634521484
119,9.072118759155273,13.893083572387695
120,9.04957389831543,13.869449615478516
121,9.02634048461914,13.844924926757812
122,9.00241470336914,13.819820404052734
123,8.977825164794922,13.794330596923828
124,8.952557563781738,13.768401145935059
125,8.926602363586426,13.741867065429688
126,8.899988174438477,13.714620590209961
127,8.872711181640625,13.686738014221191
128,8.844758987426758,13.65838623046875
129,8.816169738769531,13.629600524902344
130,8.78695297241211,13.600301742553711
131,8.757113456726074,13.570509910583496
