iter,loss,phys,bc,shape,tip,block,val_total,EI_eff_Nmm2,k_p_N_per_kPa
0,23.529048919677734,1.3432247638702393,0.033180009573698044,0.3284114599227905,0.7642897367477417,9.078708618215359e-11,41.27214813232422,1374.9742431640625,0.0011988007463514805
1,18.075916290283203,1.3487513065338135,0.04783540591597557,0.32838937640190125,0.48405107855796814,1.4475028820015723e-07,33.82882308959961,1376.339111328125,0.0011976019013673067
2,17.197479248046875,1.3560305833816528,0.27060025930404663,0.32835933566093445,0.32841265201568604,5.92152616718522e-07,30.011884689331055,1377.6585693359375,0.0011964039877057076
3,18.09535789489746,1.337725043296814,0.46591341495513916,0.32832518219947815,0.27659907937049866,1.3415805142358295e-06,29.05569076538086,1378.79248046875,0.0011952106142416596
4,17.999231338500977,1.323158621788025,0.47380560636520386,0.32829681038856506,0.26860272884368896,2.3887810129963327e-06,29.729473114013672,1379.8116455078125,0.0011940232943743467
5,16.757566452026367,1.3510706424713135,0.3368905782699585,0.3282722532749176,0.2736053764820099,3.7283657547959592e-06,31.078479766845703,1380.9385986328125,0.0011928343446925282
6,15.616333961486816,1.327560544013977,0.20200234651565552,0.328250527381897,0.2851843237876892,5.367358880903339e-06,32.655338287353516,1382.1402587890625,0.0011916490038856864
7,14.927652359008789,1.3325200080871582,0.09823967516422272,0.32822906970977783,0.3024040758609772,7.297785487025976e-06,33.940879821777344,1383.40283203125,0.0011904655257239938
8,14.748698234558105,1.321509838104248,0.04585333168506622,0.32820531725883484,0.3202226758003235,9.520556886855047e-06,34.46858596801758,1384.71240234375,0.0011892857728525996
9,14.885846138000488,1.3213831186294556,0.03785876929759979,0.32817697525024414,0.33111077547073364,1.2029935533064418e-05,34.02052307128906,1386.05126953125,0.0011881084647029638
10,14.954907417297363,1.3227488994598389,0.04723821580410004,0.32814282178878784,0.3298386037349701,1.4826105143583845e-05,32.66673278808594,1387.4234619140625,0.001186933135613799
11,14.774349212646484,1.322892665863037,0.05710139125585556,0.3281022906303406,0.31591084599494934,1.7909171219798736e-05,30.660688400268555,1388.8240966796875,0.0011857592035084963
12,14.424674987792969,1.3115501403808594,0.06819392740726471,0.32805630564689636,0.29349231719970703,2.127897460013628e-05,28.343469619750977,1390.25390625,0.0011845888802781701
13,14.035259246826172,1.296018123626709,0.08116813004016876,0.3280055522918701,0.2683599889278412,2.492723251634743e-05,26.027061462402344,1391.7115478515625,0.0011834255419671535
14,13.811832427978516,1.3248180150985718,0.10118131339550018,0.32795095443725586,0.24579468369483948,2.8839820515713654e-05,23.985742568969727,1393.1925048828125,0.0011822603410109878
15,13.682641983032227,1.2992161512374878,0.12361770868301392,0.32789361476898193,0.22945231199264526,3.3044252631952986e-05,22.36101722717285,1394.692138671875,0.001181101193651557
16,13.815768241882324,1.2880784273147583,0.1576351523399353,0.32783493399620056,0.2197132110595703,3.751072654267773e-05,21.24478530883789,1396.20263671875,0.0011799507774412632
17,13.920877456665039,1.2752468585968018,0.17914405465126038,0.32777607440948486,0.2149123251438141,4.222326970193535e-05,20.605121612548828,1397.7115478515625,0.0011788120027631521
18,14.02746295928955,1.2895960807800293,0.19389010965824127,0.3277184069156647,0.21220624446868896,4.71630301035475e-05,20.369340896606445,1399.242919921875,0.0011776782339438796
19,13.98111343383789,1.2884694337844849,0.1935369074344635,0.32766208052635193,0.21017545461654663,5.2352184866322204e-05,20.458850860595703,1400.7747802734375,0.0011765504023060203
20,13.85023307800293,1.2657511234283447,0.18575400114059448,0.32760685682296753,0.20871135592460632,5.778289050795138e-05,20.818113327026367,1402.3277587890625,0.0011754329316318035
21,13.60912799835205,1.2554665803909302,0.16318735480308533,0.32755225896835327,0.20850543677806854,6.342792767100036e-05,21.327199935913086,1403.8929443359375,0.0011743276845663786
22,13.718441009521484,1.277028203010559,0.16908478736877441,0.32749754190444946,0.20999613404273987,6.92698813509196e-05,21.876201629638672,1405.4708251953125,0.0011732274433597922
23,13.707029342651367,1.2708711624145508,0.16245600581169128,0.327440470457077,0.21310178935527802,7.534115866292268e-05,22.366901397705078,1407.081787109375,0.0011721308110281825
24,13.493255615234375,1.264369010925293,0.13477545976638794,0.3273797929286957,0.21663598716259003,8.164611062966287e-05,22.694337844848633,1408.7227783203125,0.0011710395338013768
25,13.714964866638184,1.258959174156189,0.15239965915679932,0.32731571793556213,0.2192406952381134,8.817217167234048e-05,22.775102615356445,1410.3892822265625,0.0011699543101713061
26,13.596936225891113,1.275357723236084,0.13778622448444366,0.32724666595458984,0.21989168226718903,9.491003584116697e-05,22.60782814025879,1412.0479736328125,0.001168872695416212
27,13.42892074584961,1.257366418838501,0.12528452277183533,0.3271731734275818,0.21871134638786316,0.00010187268344452605,22.274478912353516,1413.7177734375,0.0011677982984110713
28,13.323533058166504,1.259533166885376,0.11848123371601105,0.32709580659866333,0.21680904924869537,0.00010903285874519497,21.87169647216797,1415.3604736328125,0.0011667326325550675
29,13.157170295715332,1.268815517425537,0.10414982587099075,0.3270152807235718,0.21526938676834106,0.00011637537681963295,21.502473831176758,1416.9442138671875,0.0011656739516183734
30,13.163591384887695,1.2842129468917847,0.1048838347196579,0.32693323493003845,0.21453183889389038,0.00012390603660605848,21.2438907623291,1418.4503173828125,0.0011646184138953686
31,13.151233673095703,1.2744656801223755,0.1048378050327301,0.3268505036830902,0.2145031988620758,0.00013164911069907248,21.148508071899414,1419.8092041015625,0.0011635719565674663
32,13.126151084899902,1.2828571796417236,0.10100280493497849,0.32676759362220764,0.21482592821121216,0.00013955842587165534,21.253437042236328,1420.9866943359375,0.0011625329498201609
33,13.026453971862793,1.2743866443634033,0.09130509197711945,0.32668524980545044,0.2151917815208435,0.00014763919170945883,21.52351188659668,1421.97607421875,0.001161504304036498
34,12.885972023010254,1.271306037902832,0.0766456201672554,0.326602965593338,0.21572962403297424,0.00015586269728373736,21.88294792175293,1422.689208984375,0.0011604900937527418
35,12.85727310180664,1.2904385328292847,0.07006940245628357,0.3265198767185211,0.21670502424240112,0.0001641897251829505,22.252450942993164,1423.181884765625,0.001159481587819755
36,12.823798179626465,1.3032691478729248,0.06246018409729004,0.3264337480068207,0.2182762324810028,0.0001726846385281533,22.491687774658203,1423.4888916015625,0.001158473314717412
37,12.763432502746582,1.3202651739120483,0.05218107998371124,0.32634237408638,0.2196347713470459,0.00018139222811441869,22.558191299438477,1423.52734375,0.0011574644595384598
38,12.706819534301758,1.2892082929611206,0.048890482634305954,0.32624509930610657,0.22009506821632385,0.0001903179072542116,22.424211502075195,1423.280029296875,0.0011564681772142649
39,12.66131591796875,1.3324683904647827,0.04190495237708092,0.3261409401893616,0.21924927830696106,0.0001993436017073691,22.133424758911133,1422.6790771484375,0.0011554762022569776
40,12.567627906799316,1.3200156688690186,0.03773655742406845,0.3260306417942047,0.21737739443778992,0.00020853738533332944,21.710289001464844,1421.7779541015625,0.0011544955195859075
41,12.529667854309082,1.3554861545562744,0.035725828260183334,0.32591480016708374,0.2148224413394928,0.00021783109696116298,21.226795196533203,1420.605224609375,0.001153519842773676
42,12.510147094726562,1.3886419534683228,0.035895735025405884,0.3257947266101837,0.21221904456615448,0.00022727837495040148,20.808012008666992,1419.2037353515625,0.0011525466106832027
43,12.449774742126465,1.374332308769226,0.03581526130437851,0.3256722688674927,0.21007376909255981,0.00023690180387347937,20.52376365661621,1417.6312255859375,0.001151582458987832
44,12.488880157470703,1.4064160585403442,0.0404307097196579,0.3255491852760315,0.20823533833026886,0.0002466313890181482,20.356355667114258,1415.9188232421875,0.001150624011643231
45,12.439692497253418,1.4207223653793335,0.03752676397562027,0.32542458176612854,0.20663227140903473,0.000256498547969386,20.274465560913086,1414.0953369140625,0.001149668823927641
46,12.450961112976074,1.463486909866333,0.03740977495908737,0.3252981901168823,0.20523732900619507,0.00026652446831576526,20.243759155273438,1412.1793212890625,0.0011487116571515799
47,12.376470565795898,1.4397435188293457,0.03470189496874809,0.32516908645629883,0.20417796075344086,0.0002767629630398005,20.171926498413086,1410.1871337890625,0.0011477656662464142
48,12.413778305053711,1.5276432037353516,0.031980518251657486,0.3250358998775482,0.20313706994056702,0.0002870722964871675,20.01273536682129,1408.1304931640625,0.0011468073353171349
49,12.356600761413574,1.4611598253250122,0.035995639860630035,0.324898362159729,0.2017270028591156,0.0002977080876007676,19.762121200561523,1406.025634765625,0.0011458562221378088
50,12.307186126708984,1.4631171226501465,0.03480345010757446,0.32475546002388,0.199892058968544,0.0003084548516198993,19.41889190673828,1403.8824462890625,0.0011449115118011832
