iter,loss,phys,bc,shape,tip,block,val_total,EI_eff_Nmm2,k_p_N_per_kPa
0,22.93323516845703,1.3807374238967896,0.028453659266233444,0.32767102122306824,0.7357270121574402,7.5177558622741e-11,40.80176544189453,1374.9742431640625,0.0011988007463514805
1,17.876514434814453,1.3703314065933228,0.030655330047011375,0.3277221620082855,0.48225921392440796,1.3859759917522751e-07,34.6182975769043,1376.1087646484375,0.001197603764012456
2,16.59918975830078,1.3592932224273682,0.2035817801952362,0.32775992155075073,0.3324437141418457,5.651820629282156e-07,31.033428192138672,1375.68017578125,0.0011964112054556608
3,17.34617805480957,1.3643815517425537,0.39446020126342773,0.32777708768844604,0.2740819752216339,1.2766290637955535e-06,29.85757827758789,1374.81201171875,0.0011952213244512677
4,17.60379409790039,1.3966443538665771,0.4394822120666504,0.3277689814567566,0.2628461718559265,2.2714523311151424e-06,30.054393768310547,1373.7667236328125,0.00119402923155576
5,16.707843780517578,1.3682663440704346,0.34981513023376465,0.327739953994751,0.2643295228481293,3.5534922062652186e-06,30.973684310913086,1372.62841796875,0.001192840514704585
6,15.668991088867188,1.3643909692764282,0.23244984447956085,0.3276984989643097,0.27130401134490967,5.116496595292119e-06,32.172035217285156,1371.4833984375,0.0011916542425751686
7,14.821554183959961,1.3468481302261353,0.1258624643087387,0.3276510238647461,0.2831495702266693,6.959350230317796e-06,33.281532287597656,1370.44189453125,0.0011904728598892689
8,14.448722839355469,1.3429280519485474,0.059717319905757904,0.3276016414165497,0.2978249192237854,9.07591856957879e-06,33.97609329223633,1369.6009521484375,0.001189295668154955
9,14.391563415527344,1.320523977279663,0.030440054833889008,0.32755330204963684,0.31077295541763306,1.1464132512628566e-05,33.988773345947266,1369.1571044921875,0.001188125228509307
10,14.470795631408691,1.3222888708114624,0.027044080197811127,0.3275080621242523,0.31638818979263306,1.4114654732111376e-05,33.235450744628906,1369.0478515625,0.0011869602603837848
11,14.456677436828613,1.3365583419799805,0.03407708927989006,0.3274669945240021,0.31149184703826904,1.7026370187522843e-05,31.836383819580078,1369.310302734375,0.0011857955250889063
12,14.244556427001953,1.3485991954803467,0.040974803268909454,0.32743027806282043,0.29687008261680603,2.0210243746987544e-05,29.99834632873535,1369.823486328125,0.0011846291599795222
13,13.84023666381836,1.3196338415145874,0.044581688940525055,0.3273969888687134,0.27633044123649597,2.367164779570885e-05,27.948230743408203,1370.53271484375,0.001183467684313655
14,13.486445426940918,1.3174159526824951,0.05284663289785385,0.32736510038375854,0.2546493411064148,2.7390782634029165e-05,25.91506004333496,1371.394775390625,0.0011823110980913043
15,13.266916275024414,1.2998112440109253,0.07052923738956451,0.3273327946662903,0.23574215173721313,3.1363579182652757e-05,24.091751098632812,1372.3797607421875,0.0011811628937721252
16,13.181427955627441,1.325303316116333,0.08722631633281708,0.32729798555374146,0.22187726199626923,3.557341551641002e-05,22.598533630371094,1373.45068359375,0.0011800164356827736
17,13.213916778564453,1.3111579418182373,0.10915201902389526,0.32725781202316284,0.21328413486480713,4.004143556812778e-05,21.492084503173828,1374.6070556640625,0.0011788745177909732
18,13.269898414611816,1.2884864807128906,0.12669877707958221,0.3272102177143097,0.20848868787288666,4.475458990782499e-05,20.773941040039062,1375.8297119140625,0.0011777428444474936
19,13.307873725891113,1.3018240928649902,0.13526809215545654,0.32715368270874023,0.2054898887872696,4.968392022419721e-05,20.398693084716797,1377.073486328125,0.001176617806777358
20,13.18782901763916,1.2955007553100586,0.12922176718711853,0.3270878493785858,0.2028902769088745,5.483934728545137e-05,20.311479568481445,1378.3204345703125,0.001175501151010394
21,13.081449508666992,1.2983067035675049,0.12361674010753632,0.32701313495635986,0.20030555129051208,6.0208691138541326e-05,20.41208267211914,1379.630615234375,0.0011743888026103377
22,12.849059104919434,1.2770991325378418,0.10640653967857361,0.3269312083721161,0.198430597782135,6.580600893357769e-05,20.6292667388916,1380.9383544921875,0.0011732883285731077
23,12.825287818908691,1.268187403678894,0.10644189268350601,0.32684364914894104,0.19775459170341492,7.158842345234007e-05,20.866968154907227,1382.305419921875,0.0011721983319148421
24,12.750086784362793,1.2870396375656128,0.09607340395450592,0.3267531394958496,0.19832369685173035,7.755582919344306e-05,21.033395767211914,1383.725341796875,0.0011711119441315532
25,12.83331298828125,1.2743138074874878,0.10396704822778702,0.3266617953777313,0.19926278293132782,8.374068420380354e-05,21.052433013916016,1385.164306640625,0.0011700341710820794
